"entity","flfpr_start","flfpr_end","pct_change","pp_change","rank","percentile"
"Afghanistan",19.113,5.086,-73.3898393763407,-14.027,1,0.6
"Samoa",41.422,30.739,-25.7906426536623,-10.683,2,1.1
"Venezuela",48.27,37.098,-23.1448104412679,-11.172,3,1.7
"Iraq",14.178,10.937,-22.8593595711666,-3.241,4,2.2
"Myanmar",50.799,40.941,-19.4058938168074,-9.858,5,2.8
"Morocco",24.362,19.696,-19.152778917987,-4.666,6,3.3
"Egypt",22.813,18.455,-19.1031429448122,-4.358,7,3.9
"Ethiopia",70.185,58.456,-16.711548051578,-11.729,8,4.4
"Ghana",65.049,55.265,-15.0409691155898,-9.78400000000001,9,5
"Honduras",46.551,39.59,-14.9534918691328,-6.961,10,5.5
"Cameroon",65.628,56.595,-13.7639422197842,-9.033,11,6.1
"Mali",61.216,52.842,-13.6794302143231,-8.374,12,6.6
"Burkina Faso",73.531,64.074,-12.8612421971686,-9.45700000000001,13,7.2
"Sri Lanka",35.33,30.992,-12.2785168412114,-4.338,14,7.7
"Lesotho",54.532,48.091,-11.8114134819922,-6.441,15,8.3
"Kenya",71.356,63.036,-11.6598464039464,-8.31999999999999,16,8.8
"New Caledonia",57.768,51.067,-11.5998476665282,-6.701,17,9.4
"Yemen",5.207,4.663,-10.4474745534857,-0.544,18,9.9
"Cuba",44.31,39.974,-9.78560144436923,-4.33600000000001,19,10.5
"Guinea",47.185,42.646,-9.61958249443679,-4.539,20,11
"Tajikistan",23.907,21.897,-8.40757937005898,-2.01,21,11.6
"Costa Rica",50.06,46.017,-8.07630842988414,-4.043,22,12.2
"Trinidad and Tobago",51.964,47.77,-8.07097221153105,-4.194,23,12.7
"Algeria",15.258,14.142,-7.31419583169485,-1.116,24,13.3
"Kyrgyzstan",47.459,44.136,-7.00183316125498,-3.323,25,13.8
"Colombia",55.255,51.624,-6.57135100895847,-3.631,26,14.4
"Malawi",62.23,58.18,-6.50811505704644,-4.05,27,14.9
"Sierra Leone",55.091,51.604,-6.32952750903052,-3.487,28,15.5
"Chad",50.481,47.301,-6.29939977417246,-3.18,29,16
"Vietnam",72.863,68.551,-5.91795561533288,-4.312,30,16.6
"China",62.605,59.148,-5.52192316907594,-3.45699999999999,31,17.1
"Haiti",61.695,58.337,-5.44290461139476,-3.358,32,17.7
"United States Virgin Islands",55.655,52.768,-5.18731470667505,-2.887,33,18.2
"Armenia",53.826,51.057,-5.1443540296511,-2.769,34,18.8
"Brunei",57.383,54.436,-5.13566735792831,-2.947,35,19.3
"Kuwait",49.648,47.2,-4.93071221398647,-2.448,36,19.9
"French Polynesia",49,46.628,-4.84081632653062,-2.372,37,20.4
"Macao",66.133,63.098,-4.58923684091149,-3.035,38,21
"Hong Kong",54.211,51.805,-4.43821364667687,-2.406,39,21.5
"Vanuatu",55.728,53.314,-4.33175423485501,-2.414,40,22.1
"Kazakhstan",65.46,62.649,-4.29422548120989,-2.81099999999999,41,22.7
"Fiji",40.016,38.451,-3.91093562574969,-1.565,42,23.2
"Peru",67.657,65.044,-3.86212808726369,-2.613,43,23.8
"Iceland",72.787,70.012,-3.81249398931128,-2.77500000000001,44,24.3
"Belize",48.253,46.472,-3.6909622199656,-1.781,45,24.9
"Mongolia",53.429,51.458,-3.68900784218309,-1.971,46,25.4
"Thailand",61.068,58.963,-3.44697714023711,-2.105,47,26
"Georgia",58.678,56.697,-3.37605235352261,-1.98099999999999,48,26.5
"Libya",34.132,32.995,-3.33118481190672,-1.137,49,27.1
"Belarus",58.668,56.769,-3.23685825322152,-1.899,50,27.6
"Turkmenistan",39.461,38.242,-3.08912597247916,-1.219,51,28.2
"Cape Verde",51.843,50.47,-2.64838068784601,-1.373,52,28.7
"Namibia",56.351,54.918,-2.542989476673,-1.433,53,29.3
"Bahrain",43.369,42.294,-2.47872904609284,-1.075,54,29.8
"Iran",14.362,14.013,-2.43002367358307,-0.349,55,30.4
"Saint Lucia",63.495,61.995,-2.3623907394283,-1.5,56,30.9
"Angola",73.933,72.224,-2.31155235145335,-1.709,57,31.5
"Mauritania",26.679,26.18,-1.87038494696202,-0.498999999999999,58,32
"Equatorial Guinea",53.596,52.616,-1.82849466378088,-0.979999999999997,59,32.6
"Russia",55.555,54.546,-1.81621816218163,-1.009,60,33.1
"Norway",63.205,62.086,-1.77042955462384,-1.119,61,33.7
"Tonga",43.081,42.347,-1.70376732202131,-0.734000000000002,62,34.3
"Burundi",80.778,79.498,-1.58458986357671,-1.28,63,34.8
"Romania",42.473,41.807,-1.56805499964683,-0.665999999999997,64,35.4
"Congo",66.526,65.576,-1.42801310765716,-0.950000000000003,65,35.9
"Mozambique",78.143,77.09,-1.34752952919647,-1.053,66,36.5
"Canada",60.969,60.204,-1.25473601338385,-0.765000000000001,67,37
"Somalia",20.942,20.7,-1.15557253366441,-0.242000000000001,68,37.6
"Barbados",61.731,61.03,-1.13557207885827,-0.701000000000001,69,38.1
"Eritrea",73.372,72.838,-0.727798070108499,-0.534000000000006,70,38.7
"Azerbaijan",61.096,60.759,-0.551590938850333,-0.336999999999996,71,39.2
"Madagascar",83.249,82.913,-0.403608451753168,-0.335999999999999,72,39.8
"Guatemala",38.437,38.324,-0.293987564065867,-0.113,73,40.3
"Solomon Islands",82.568,82.337,-0.2797694021897,-0.230999999999995,74,40.9
"Switzerland",62.36,62.223,-0.21969211032713,-0.137,75,41.4
"Sao Tome and Principe",22.768,22.749,-0.0834504567814531,-0.0190000000000019,76,42
"Syria",12.729,12.727,-0.015712153350611,-0.00199999999999889,77,42.5
"Democratic Republic of Congo",61.84,61.848,0.0129366106080164,0.00799999999999557,78,43.1
"Slovenia",52.275,52.297,0.0420851267336264,0.0219999999999985,79,43.6
"North Korea",77.608,77.713,0.135295330378304,0.10499999999999,80,44.2
"Liberia",71.923,72.029,0.147379836769868,0.105999999999995,81,44.8
"Brazil",53.323,53.411,0.165031974945151,0.088000000000001,82,45.3
"Tanzania",80.123,80.282,0.19844489098011,0.158999999999992,83,45.9
"Central African Republic",65.301,65.464,0.249613329045495,0.162999999999997,84,46.4
"Pakistan",23.983,24.046,0.26268606929909,0.0629999999999988,85,47
"Guam",56.338,56.52,0.323050161525074,0.182000000000002,86,47.5
"Cote d'Ivoire",59.228,59.454,0.381576281488494,0.225999999999999,87,48.1
"Spain",52.62,52.825,0.389585708855966,0.205000000000005,88,48.6
"Austria",54.827,55.059,0.423149178324556,0.231999999999999,89,49.2
"Gabon",41.453,41.629,0.42457723204592,0.175999999999995,90,49.7
"East Timor",61.298,61.676,0.616659597376756,0.378,91,50.3
"Bahamas",70.291,70.728,0.621701213526626,0.436999999999998,92,50.8
"United States",55.938,56.343,0.724015874718442,0.405000000000001,93,51.4
"Ecuador",51.905,52.386,0.92669299682111,0.481000000000002,94,51.9
"France",50.957,51.48,1.02635555468336,0.522999999999996,95,52.5
"North Macedonia",42.307,42.742,1.02819864325052,0.434999999999995,96,53
"Bosnia and Herzegovina",38.824,39.241,1.07407788996496,0.417000000000002,97,53.6
"United Kingdom",56.722,57.333,1.07718345615457,0.610999999999997,98,54.1
"Oman",29.621,29.958,1.13770635697648,0.337,99,54.7
"Suriname",44.378,44.915,1.21005903826219,0.536999999999999,100,55.2
"Greece",44.028,44.666,1.44907785954391,0.637999999999998,101,55.8
"Croatia",46.662,47.377,1.53229608675154,0.715000000000003,102,56.4
"Germany",54.441,55.288,1.55581271468195,0.846999999999994,103,56.9
"Malaysia",50.83,51.643,1.59944914420618,0.813000000000002,104,57.5
"Sweden",60.562,61.537,1.60992041213963,0.975000000000001,105,58
"Tunisia",26.072,26.497,1.63010125805463,0.425000000000001,106,58.6
"Uruguay",56.3,57.255,1.69626998223802,0.955000000000005,107,59.1
"Portugal",53.7,54.628,1.72811918063314,0.927999999999997,108,59.7
"Nepal",27.006,27.473,1.72924535288455,0.466999999999999,109,60.2
"Togo",55.644,56.637,1.7845589821005,0.993000000000002,110,60.8
"Finland",55.407,56.493,1.96004115003521,1.08600000000001,111,61.3
"Gambia",44.465,45.459,2.23546609693017,0.994,112,61.9
"Latvia",54.029,55.248,2.2561957467286,1.21899999999999,113,62.4
"Mauritius",46.371,47.462,2.35276358068621,1.091,114,63
"Uganda",73.722,75.595,2.54062559344566,1.873,115,63.5
"Zimbabwe",60.384,62.155,2.93289613142556,1.771,116,64.1
"Bhutan",54.976,56.7,3.13591385331782,1.724,117,64.6
"Netherlands",60.755,62.71,3.21784215290921,1.955,118,65.2
"Bulgaria",48.725,50.376,3.3884043099025,1.651,119,65.7
"Cyprus",59.097,61.213,3.58055400443338,2.116,120,66.3
"Italy",39.391,40.806,3.59219110964433,1.415,121,66.9
"Israel",60.114,62.278,3.59982699537547,2.164,122,67.4
"Belgium",48.045,49.78,3.61119783536268,1.735,123,68
"Eswatini",46.819,48.518,3.62886862171341,1.699,124,68.5
"Singapore",61.305,63.569,3.69301035804583,2.264,125,69.1
"Philippines",48.67,50.489,3.73741524553113,1.819,126,69.6
"Papua New Guinea",48.779,50.822,4.18827774247115,2.043,127,70.2
"Moldova",69.413,72.33,4.20238283894947,2.917,128,70.7
"Poland",49.527,51.612,4.20982494396995,2.085,129,71.3
"Benin",72.007,75.164,4.38429597122501,3.157,130,71.8
"Uzbekistan",39.447,41.178,4.38816640048671,1.73099999999999,131,72.4
"Czechia",51.187,53.456,4.43276613202572,2.26900000000001,132,72.9
"South Africa",47.716,49.881,4.53726213429457,2.165,133,73.5
"Chile",50.352,52.887,5.03455672068638,2.535,134,74
"Rwanda",54.516,57.304,5.11409494460342,2.788,135,74.6
"New Zealand",62.855,66.077,5.1260838437674,3.222,136,75.1
"Cambodia",73.417,77.351,5.35843197079695,3.934,137,75.7
"Maldives",38.573,40.732,5.59717937417363,2.159,138,76.2
"Australia",59.151,62.513,5.68375851633953,3.36199999999999,139,76.8
"Indonesia",50.772,53.72,5.80634995666902,2.948,140,77.3
"Luxembourg",54.247,57.474,5.94871605803085,3.227,141,77.9
"Lithuania",54.428,57.668,5.95281840229294,3.24,142,78.5
"Nicaragua",48.342,51.253,6.02167887137479,2.911,143,79
"Slovakia",51.931,55.127,6.15432015559108,3.19600000000001,144,79.6
"Nigeria",75.759,80.7,6.52199738644914,4.941,145,80.1
"Panama",51.485,54.936,6.70292318150918,3.451,146,80.7
"Denmark",56.837,60.792,6.9584953463413,3.955,147,81.2
"Guinea-Bissau",56.11,60.287,7.44430582783817,4.177,148,81.8
"Paraguay",54.827,59.011,7.63127656081859,4.184,149,82.3
"Jamaica",58.524,63.033,7.70453147426697,4.509,150,82.9
"Mexico",43.928,47.45,8.01766527044256,3.52200000000001,151,83.4
"Saint Vincent and the Grenadines",54.737,59.217,8.18459177521602,4.48,152,84
"South Korea",52.391,56.782,8.38121051325609,4.391,153,84.5
"El Salvador",45.09,49.052,8.78687070303836,3.962,154,85.1
"Hungary",49.901,54.312,8.83950221438448,4.41099999999999,155,85.6
"Djibouti",17.785,19.365,8.88389091931401,1.58,156,86.2
"Zambia",51.787,56.426,8.95784656380945,4.639,157,86.7
"Ireland",54.809,59.755,9.02406539072052,4.94600000000001,158,87.3
"Estonia",55.747,60.984,9.39422749206236,5.237,159,87.8
"Laos",56.202,61.56,9.53346855983774,5.358,160,88.4
"United Arab Emirates",48.183,53.027,10.0533383143432,4.844,161,89
"Argentina",47.498,52.469,10.4657038191082,4.971,162,89.5
"Qatar",55.988,61.85,10.470100735872,5.862,163,90.1
"Montenegro",46.123,51.246,11.1072566832166,5.123,164,90.6
"Dominican Republic",48.157,53.655,11.4168241377162,5.498,165,91.2
"Guyana",42.273,47.35,12.0100300428169,5.077,166,91.7
"Senegal",34.06,38.216,12.2019964768056,4.156,167,92.3
"Japan",49.41,55.905,13.1451123254402,6.495,168,92.8
"Botswana",56.288,63.708,13.1822057987493,7.42,169,93.4
"Bangladesh",33.531,38.649,15.2634875190123,5.118,170,93.9
"Puerto Rico",31.876,36.853,15.6136278077551,4.977,171,94.5
"Jordan",13.599,16.029,17.8689609530112,2.43,172,95
"Niger",61.705,72.776,17.941819949761,11.071,173,95.6
"Turkey",31.416,37.145,18.2359307359308,5.729,174,96.1
"Serbia",43.295,52.629,21.5590714863148,9.334,175,96.7
"India",26.582,32.425,21.9810398013693,5.843,176,97.2
"Albania",47.117,58.567,24.3012076320649,11.45,177,97.8
"Bolivia",57.044,72.868,27.7399901830166,15.824,178,98.3
"Malta",43.02,55.799,29.7047884704788,12.779,179,98.9
"Comoros",34.778,47.649,37.0090286963023,12.871,180,99.4
"Saudi Arabia",21.635,33.573,55.1791079269702,11.938,181,100
